datetime,timestamp,alx_lx,tof_distance_mm
2026-06-06T13:09:04,1780744144,222.72,595
2026-06-06T13:09:09,1780744149,213.12,580
2026-06-06T13:09:14,1780744154,214.08,569
2026-06-06T13:09:19,1780744159,161.28,516
2026-06-06T13:09:24,1780744164,235.52,589
2026-06-06T13:09:29,1780744169,206.4,561
2026-06-06T13:09:34,1780744174,212.8,574
2026-06-06T13:09:39,1780744179,212.8,574
2026-06-06T13:09:44,1780744184,212.48000000000002,568
2026-06-06T13:09:49,1780744189,206.72,564
2026-06-06T13:09:54,1780744194,237.44,603
2026-06-06T13:09:59,1780744199,221.44,588
2026-06-06T13:10:04,1780744204,225.28,586
2026-06-06T13:10:09,1780744209,222.08,583
2026-06-06T13:10:14,1780744214,213.44,572
2026-06-06T13:10:19,1780744219,217.6,570
2026-06-06T13:10:24,1780744224,241.6,620
2026-06-06T13:10:29,1780744229,233.6,604
2026-06-06T13:10:34,1780744234,221.44,588
2026-06-06T13:10:39,1780744239,219.84,590
2026-06-06T13:10:44,1780744244,217.28,580
2026-06-06T13:10:49,1780744249,217.6,584
2026-06-06T13:10:54,1780744254,219.20000000000002,582
2026-06-06T13:10:59,1780744259,216.32,584
2026-06-06T13:11:04,1780744264,219.84,584
2026-06-06T13:11:09,1780744269,230.08,585
2026-06-06T13:11:14,1780744274,218.56,581
2026-06-06T13:11:19,1780744279,219.52,579
2026-06-06T13:11:24,1780744284,219.20000000000002,581
2026-06-06T13:11:29,1780744289,216.0,586
2026-06-06T13:11:34,1780744294,216.64000000000001,586
2026-06-06T13:11:39,1780744299,206.72,556
2026-06-06T13:11:44,1780744304,144.64000000000001,406
2026-06-06T13:11:49,1780744309,161.6,504
2026-06-06T13:11:54,1780744314,170.24,508
2026-06-06T13:11:59,1780744319,141.76,381
2026-06-06T13:12:04,1780744324,124.8,338
2026-06-06T13:12:09,1780744329,139.20000000000002,349
2026-06-06T13:12:14,1780744334,160.64000000000001,513
2026-06-06T13:12:19,1780744339,220.48000000000002,558
2026-06-06T13:12:24,1780744344,215.04,379
2026-06-06T13:12:29,1780744349,213.44,552
2026-06-06T13:12:34,1780744354,201.92000000000002,423
2026-06-06T13:12:39,1780744359,209.92000000000002,529
2026-06-06T13:12:44,1780744364,217.28,563
2026-06-06T13:12:49,1780744369,211.20000000000002,580
2026-06-06T13:12:54,1780744374,221.12,568
2026-06-06T13:12:59,1780744379,222.4,531
2026-06-06T13:13:04,1780744384,224.64000000000001,573
2026-06-06T13:13:09,1780744389,204.8,574
2026-06-06T13:13:14,1780744394,203.52,573
2026-06-06T13:13:19,1780744399,211.52,547
2026-06-06T13:13:24,1780744404,188.8,564
2026-06-06T13:13:29,1780744409,216.0,398
2026-06-06T13:13:34,1780744414,193.6,381
2026-06-06T13:13:39,1780744419,210.56,424
2026-06-06T13:13:44,1780744424,211.84,413
